,주소,geocoding_juso4
47,"서울특별시 종로구 지봉로 29, 501호 (창신동)",서울특별시 종로구 지봉로 29
48,서울특별시 강북구 월계로7나길 8 (미아동),서울특별시 강북구 월계로7나길 8 
49,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",서울특별시 서대문구 수색로 56
50,서울특별시 강북구 삼양로 424 (수유동),서울특별시 강북구 삼양로 424 
51,"서울특별시 중랑구 망우로 412, 6층 (망우동)",서울특별시 중랑구 망우로 412
52,"서울특별시 중구 덕수궁길 7, 오천회관빌딩 5층 (태평로2가)",서울특별시 중구 덕수궁길 7
53,"서울특별시 강북구 도봉로 260, 4층 (미아동, 운산빌딩)",서울특별시 강북구 도봉로 260
54,"서울특별시 노원구 동일로 1548, 5층 (상계동)",서울특별시 노원구 동일로 1548
55,서울특별시 노원구 동일로 996 (공릉동),서울특별시 노원구 동일로 996 
56,서울특별시 서대문구 성산로 335 (연희동),서울특별시 서대문구 성산로 335 
57,서울특별시 강동구 올림픽로98길 11  (암사동),서울특별시 강동구 올림픽로98길 11  
58,"서울특별시 강북구 도봉로 52, 8층 (미아동, 와이스퀘어빌딩)",서울특별시 강북구 도봉로 52
59,"서울특별시 강북구 삼양로 437 (수유동, 성아빌딩)",서울특별시 강북구 삼양로 437 
60,"서울특별시 도봉구 도봉로 575, 삼환프라자 3층 301호 (쌍문동)",서울특별시 도봉구 도봉로 575
61,서울특별시 강북구 한천로109길 33 (번동),서울특별시 강북구 한천로109길 33 
62,"서울특별시 노원구 노해로81길 5-6, 노원스퀘어 5-7층 (상계동)",서울특별시 노원구 노해로81길 5-6
63,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",서울특별시 강북구 한천로 1083
64,"서울특별시 동대문구 전농로 110, 1, 2층 (답십리동)",서울특별시 동대문구 전농로 110
65,"서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",서울특별시 강북구 도봉로 187
66,"서울특별시 강북구 도봉로 34, 4층 (미아동)",서울특별시 강북구 도봉로 34
67,"서울특별시 노원구 노해로 457, 은성빌딩 2층 (상계동)",서울특별시 노원구 노해로 457
68,서울특별시 강북구 미아7동 1339-5,서울특별시 강북구 미아7동 1339-5
69,"서울특별시 중랑구 동일로 952, 2층 201~202호 (묵동, 로프트원 태릉입구역)",서울특별시 중랑구 동일로 952
70,"서울특별시 은평구 역말로 101, 토마스빌딩 2,3층 (역촌동)",서울특별시 은평구 역말로 101
71,"서울특별시 강북구 삼양로 192, 1층 (미아동)",서울특별시 강북구 삼양로 192
72,서울특별시 강북구 도봉로 353  (수유동),서울특별시 강북구 도봉로 353  
73,"서울특별시 강북구 삼양로 162, 젬스톤프라자 2층 (미아동)",서울특별시 강북구 삼양로 162
74,"서울특별시 중구 남대문시장길 73-3, 7층 (회현동1가)",서울특별시 중구 남대문시장길 73-3
75,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",서울특별시 구로구 경인로 191
76,"서울특별시 중랑구 사가정로 373, 성윤빌딩 3층 (면목동)",서울특별시 중랑구 사가정로 373
77,"서울특별시 강북구 도봉로 213, 하당빌딩 1층 (미아동)",서울특별시 강북구 도봉로 213
78,"서울특별시 강북구 도봉로 161, 서울컨벤션웨딩홀 (미아동)",서울특별시 강북구 도봉로 161
79,서울특별시 중구 마른내로 40(초동),서울특별시 중구 마른내로 40
80,"서울특별시 강서구 방화동로 10-2, 수영빌딩 2층 (공항동)",서울특별시 강서구 방화동로 10-2
81,"서울특별시 강서구 강서로 52, 화곡판타지아 2층 201~203호 (화곡동)",서울특별시 강서구 강서로 52
82,"서울특별시 강남구 개포로 615 (개포동, 석탑플라자 307호)",서울특별시 강남구 개포로 615 
83,"서울특별시 구로구 오리로 1289, 3층 (궁동)",서울특별시 구로구 오리로 1289
84,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",서울특별시 용산구 유엔빌리지길 72
85,"서울특별시 강서구 공항대로45길 15, 7~11층 (등촌동, 가양역 두산위브)",서울특별시 강서구 공항대로45길 15
86,서울특별시 강서구 공항대로41길 43 (등촌동),서울특별시 강서구 공항대로41길 43 
87,"서울특별시 강서구 강서로 173, 터보빌딩 5층 501호 (화곡동)",서울특별시 강서구 강서로 173
88,서울특별시 강서구 공항대로41길 56 (등촌동) 501호,서울특별시 강서구 공항대로41길 56 
89,"서울특별시 강서구 강서로 34, 2층 (화곡동, 삼경빌딩)",서울특별시 강서구 강서로 34
90,서울특별시 강서구 화곡로 164 (화곡동),서울특별시 강서구 화곡로 164 
91,"서울특별시 구로구 개봉로 57, 3층 (개봉동)",서울특별시 구로구 개봉로 57
92,"서울특별시 양천구 남부순환로 360, (신월동)",서울특별시 양천구 남부순환로 360
93,"서울특별시 강서구 양천로 606, 4층 (등촌동)",서울특별시 강서구 양천로 606
94,"서울특별시 강서구 양천로 698, 한영빌딩 2층 (염창동)",서울특별시 강서구 양천로 698
95,"서울특별시 강서구 양천로 683, 3층 (염창동)",서울특별시 강서구 양천로 683
96,"서울특별시 강서구 금낭화로 9, 바른세상병원 1,2,3,4,5,층 6,7호 (방화동)",서울특별시 강서구 금낭화로 9
97,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",서울특별시 도봉구 도봉로 759
98,"서울특별시 강서구 강서로 348, 3층 313, 314호 (내발산동, 우장산힐스테이트)",서울특별시 강서구 강서로 348
99,"서울특별시 강서구 화곡로 154, 청산빌딩 4,6층 (화곡동)",서울특별시 강서구 화곡로 154
100,"서울특별시 강서구 양천로73길 33, 유앤아이빌딩 4,5,6층 (염창동)",서울특별시 강서구 양천로73길 33
101,"서울특별시 강서구 방화동로 92, 에스메디컬 4,5일부층 (방화동)",서울특별시 강서구 방화동로 92
102,서울특별시 강서구 양천로 73 (방화동),서울특별시 강서구 양천로 73 
103,"서울특별시 강서구 강서로 391, 문영비즈웍스 3층 301호 (마곡동)",서울특별시 강서구 강서로 391
104,"서울특별시 강서구 등촌로5길 2, 3층 (화곡동)",서울특별시 강서구 등촌로5길 2
105,"서울특별시 강서구 허준로 14, 2층 (가양동)",서울특별시 강서구 허준로 14
106,서울특별시 강서구 양천로 658 (염창동),서울특별시 강서구 양천로 658 
107,"서울특별시 강서구 공항대로 315 (등촌동, 서울시니어강서타워)",서울특별시 강서구 공항대로 315 
108,"서울특별시 강서구 곰달래로 54, 백제빌딩 1~7층 (화곡동)",서울특별시 강서구 곰달래로 54
109,"서울특별시 강서구 강서로56길 106, 화운빌딩 2,3,4,5층 (등촌동)",서울특별시 강서구 강서로56길 106
110,"서울특별시 강서구 가로공원로76길 51, 2~5층 (화곡동)",서울특별시 강서구 가로공원로76길 51
111,"서울특별시 강서구 마곡중앙로 55, 문영 퀸즈파크13 3층 304~306호 (마곡동)",서울특별시 강서구 마곡중앙로 55
112,"서울특별시 강서구 양천로 72, 403호, 404호 (방화동, 해성빌딩)",서울특별시 강서구 양천로 72
113,"서울특별시 양천구 목동중앙남로 20, (목동)",서울특별시 양천구 목동중앙남로 20
114,"서울특별시 강서구 강서로 348, 4층 413,414호 (내발산동, 우장산힐스테이트)",서울특별시 강서구 강서로 348
115,"서울특별시 강서구 방화대로47가길 7, 203호 (방화동)",서울특별시 강서구 방화대로47가길 7
116,"서울특별시 강서구 강서로 259, 301호 (내발산동, 엠버리움)",서울특별시 강서구 강서로 259
117,서울특별시 강서구 강서로 254 (화곡동),서울특별시 강서구 강서로 254 
118,"서울특별시 강서구 양천로 690, 2층 (염창동, 호서빌딩)",서울특별시 강서구 양천로 690
119,"서울특별시 강서구 강서로 380, 세민빌딩 301호 (등촌동)",서울특별시 강서구 강서로 380
120,서울특별시 강서구 염창동 275-12,서울특별시 강서구 염창동 275-12
121,"서울특별시 강서구 강서로 155, 등대빌딩 2,3층 (화곡동)",서울특별시 강서구 강서로 155
122,"서울특별시 송파구 가락로 169 (송파동,2층)",서울특별시 송파구 가락로 169 
123,서울특별시 강서구 금낭화로 80 (방화동),서울특별시 강서구 금낭화로 80 
124,서울특별시 강서구 강서로18가길 4 (화곡동),서울특별시 강서구 강서로18가길 4 
125,"서울특별시 강서구 등촌로 69, 우덕빌딩 3층 (등촌동)",서울특별시 강서구 등촌로 69
126,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 2층 241,242호 (마곡동)",서울특별시 강서구 마곡중앙5로 6
127,"서울특별시 강서구 화곡로 301, 원풍빌딩 2층 (화곡동)",서울특별시 강서구 화곡로 301
128,서울특별시 강서구 화곡로 200 (화곡동),서울특별시 강서구 화곡로 200 
129,"서울특별시 강서구 양천로57길 9-7, 2,4,5층 (가양동)",서울특별시 강서구 양천로57길 9-7
130,"서울특별시 강서구 강서로 392-11, 2층 (등촌동)",서울특별시 강서구 강서로 392-11
131,"서울특별시 강서구 양천로 376, 델타빌딩 5층 501호 (가양동)",서울특별시 강서구 양천로 376
132,"서울특별시 강서구 강서로 43, 203,202일부호 (화곡동, 도양라비앙타워)",서울특별시 강서구 강서로 43
133,"서울특별시 강서구 방화동로 43, 3층 (방화동)",서울특별시 강서구 방화동로 43
134,서울특별시 강서구 강서로 316 (내발산동),서울특별시 강서구 강서로 316 
135,"서울특별시 양천구 신월로 274, 2층 201,202호 (신정동)",서울특별시 양천구 신월로 274
136,"서울특별시 강서구 허준로 209, 1층 102호 (가양동, 가양7단지아파트)",서울특별시 강서구 허준로 209
137,"서울특별시 강서구 공항대로 38, 4,5층 502호 (공항동)",서울특별시 강서구 공항대로 38
138,"서울특별시 강서구 강서로56길 38 (등촌동, 강서힘찬병원)",서울특별시 강서구 강서로56길 38 
139,서울특별시 은평구 불광로 54 (불광동),서울특별시 은평구 불광로 54 
140,"서울특별시 강남구 봉은사로 326, 1층 (역삼동, 남전빌딩)",서울특별시 강남구 봉은사로 326
141,"서울특별시 강남구 학동로 503, 202호 (청담동)",서울특별시 강남구 학동로 503
142,서울특별시 관악구 관악로 236 (봉천동),서울특별시 관악구 관악로 236 
143,서울특별시 양천구 중앙로 276,서울특별시 양천구 중앙로 276
144,서울특별시 도봉구 덕릉로 253 (창동),서울특별시 도봉구 덕릉로 253 
145,"서울특별시 성동구 마장로 291, 3층 (마장동)",서울특별시 성동구 마장로 291
146,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",서울특별시 강서구 양천로 366
147,서울특별시 강서구 월정로 160 (화곡동),서울특별시 강서구 월정로 160 
148,"서울특별시 양천구 중앙로 251, 2층 (신정동)",서울특별시 양천구 중앙로 251
149,"서울특별시 관악구 신림로 340, 르네상스 복합쇼핑몰 13층 1304호 (신림동)",서울특별시 관악구 신림로 340
150,"서울특별시 동대문구 한천로58길 75-13, 3층 (이문동)",서울특별시 동대문구 한천로58길 75-13
151,서울특별시 동대문구 홍릉로 5 (청량리동),서울특별시 동대문구 홍릉로 5 
152,"서울특별시 강서구 공항대로 426, 2층 2호 (화곡동, VIP오피스텔)",서울특별시 강서구 공항대로 426
153,서울특별시 중랑구 중랑역로 15 (중화동),서울특별시 중랑구 중랑역로 15 
154,"서울특별시 강남구 압구정로28길 25, 3층 (신사동)",서울특별시 강남구 압구정로28길 25
155,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)",서울특별시 강남구 테헤란로 520
156,"서울특별시 강북구 솔샘로 239, 3층 (미아동)",서울특별시 강북구 솔샘로 239
157,서울특별시 강서구 강서로 33 (화곡동),서울특별시 강서구 강서로 33 
158,"서울특별시 관악구 난곡로35길 2, 2층 (신림동)",서울특별시 관악구 난곡로35길 2
159,"서울특별시 송파구 동남로 207, 2층 (가락동)",서울특별시 송파구 동남로 207
160,"서울특별시 강동구 아리수로93나길 26, 성산타워 3층 301~303호 (강일동)",서울특별시 강동구 아리수로93나길 26
161,"서울특별시 강동구 아리수로93나길 38, 아이메디컬 310호 (강일동)",서울특별시 강동구 아리수로93나길 38
162,서울특별시 강동구 아리수로93길 9,서울특별시 강동구 아리수로93길 9
163,"서울특별시 강동구 아리수로 427, 403,404호 (강일동)",서울특별시 강동구 아리수로 427
164,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",서울특별시 강남구 도산대로 452
165,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",서울특별시 송파구 송이로32길 37
166,서울특별시 중랑구 동일로 775 (중화동),서울특별시 중랑구 동일로 775 
167,"서울특별시 동대문구 장한로 119, 304호 (장안동)",서울특별시 동대문구 장한로 119
168,서울특별시 중랑구 동일로 842,서울특별시 중랑구 동일로 842
169,서울특별시 양천구 중앙로32길 61 (신정동),서울특별시 양천구 중앙로32길 61 
170,"서울특별시 송파구 바람드리길 62, 6호 (풍납동)",서울특별시 송파구 바람드리길 62
171,"서울특별시 송파구 백제고분로 130, 3층 313호 (잠실동, 덕양빌딩)",서울특별시 송파구 백제고분로 130
172,"서울특별시 노원구 동일로227길 26 (상계동, 상계주공15단지아파트)",서울특별시 노원구 동일로227길 26 
173,"서울특별시 송파구 거마로 61, 401호 (마천동, 한스어반타워)",서울특별시 송파구 거마로 61
174,서울특별시 강남구 남부순환로 2941,서울특별시 강남구 남부순환로 2941
175,서울특별시 은평구 통일로 721 (대조동),서울특별시 은평구 통일로 721 
176,"서울특별시 서초구 사임당로 180, 보원빌딩 305호 (서초동)",서울특별시 서초구 사임당로 180
177,"서울특별시 구로구 구로동로26길 37, 2층 (구로동)",서울특별시 구로구 구로동로26길 37
178,서울특별시 도봉구 덕릉로 398 (창동),서울특별시 도봉구 덕릉로 398 
179,"서울특별시 성동구 고산자로 255, 지상12층 (도선동, 케이 타워)",서울특별시 성동구 고산자로 255
180,"서울특별시 중랑구 망우로 377, 성환빌딩 1층 (상봉동)",서울특별시 중랑구 망우로 377
181,"서울특별시 관악구 난곡로 303, 3층 (신림동)",서울특별시 관악구 난곡로 303
182,"서울특별시 성동구 왕십리로 410, 3층 (하왕십리동, 센트라스 153타워)",서울특별시 성동구 왕십리로 410
183,서울특별시 용산구 회나무로6길 5  (이태원동),서울특별시 용산구 회나무로6길 5  
184,서울특별시 성동구 행당로 84  (행당동),서울특별시 성동구 행당로 84  
185,"서울특별시 강서구 양천로57길 13 (가양동, 시드프라자)",서울특별시 강서구 양천로57길 13 
186,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 2,3층 (마천동)",서울특별시 송파구 마천로 295-1
187,서울특별시 금천구 시흥대로 228,서울특별시 금천구 시흥대로 228
188,서울특별시 성북구 동소문로20가길 56  (동선동1가),서울특별시 성북구 동소문로20가길 56  
189,"서울특별시 서대문구 증가로 9, 범우빌딩 402호 (연희동)",서울특별시 서대문구 증가로 9
190,서울특별시 관악구 신림로 339 (신림동),서울특별시 관악구 신림로 339 
191,서울특별시 강북구 도봉로20가길 65 (미아동),서울특별시 강북구 도봉로20가길 65 
192,"서울특별시 종로구 종로 335, 4층 (창신동)",서울특별시 종로구 종로 335
193,"서울특별시 서초구 서초대로 304, 8~11층 (서초동, 강한미크리닉빌딩)",서울특별시 서초구 서초대로 304
194,서울특별시 종로구 새문안로 103-1  (신문로1가),서울특별시 종로구 새문안로 103-1  
195,"서울특별시 동작구 상도로 348, 2층 (상도동)",서울특별시 동작구 상도로 348
196,"서울특별시 종로구 윤보선길 26, 2층 (안국동)",서울특별시 종로구 윤보선길 26
197,"서울특별시 관악구 관악로 203, 401호 (봉천동, 옥토빌딩)",서울특별시 관악구 관악로 203
198,서울특별시 강남구 도곡로 516(대치동),서울특별시 강남구 도곡로 516
199,"서울특별시 마포구 매봉산로 75, 205호 (상암동, 디디엠씨)",서울특별시 마포구 매봉산로 75
200,"서울특별시 양천구 신월로 325 (신정동, 개구장이치과)",서울특별시 양천구 신월로 325 
201,"서울특별시 서대문구 통일로 360, 4층 (홍제동, 보하빌딩)",서울특별시 서대문구 통일로 360
202,서울특별시 구로구 개봉로 72 (개봉동),서울특별시 구로구 개봉로 72 
203,서울특별시 구로구 고척로 134 (개봉동),서울특별시 구로구 고척로 134 
204,"서울특별시 구로구 개봉로 55, 홍인빌딩 2층 (개봉동)",서울특별시 구로구 개봉로 55
205,"서울특별시 서초구 동작대로 114, 5층 (방배동, 유문빌딩)",서울특별시 서초구 동작대로 114
206,"서울특별시 강남구 개포로 615, 석탑프라자 4층 (개포동)",서울특별시 강남구 개포로 615
207,"서울특별시 강남구 개포로 623, 대청타워 234,234-1호 (개포동)",서울특별시 강남구 개포로 623
208,"서울특별시 강남구 개포로 615, 석탑프라자 지하1층 B101,B103호 (개포동)",서울특별시 강남구 개포로 615
209,"서울특별시 강남구 선릉로 26, JS빌딩 4,6,7층 (개포동)",서울특별시 강남구 선릉로 26
210,"서울특별시 강남구 언주로7길 6, 2층 203,203-1,204,218호 (개포동, 개포자이르네)",서울특별시 강남구 언주로7길 6
211,"서울특별시 강남구 언주로7길 6, 207,208,212호 (개포동, 개포자이르네)",서울특별시 강남구 언주로7길 6
212,"서울특별시 강남구 삼성로 38, 개포빌딩 201호 (개포동)",서울특별시 강남구 삼성로 38
213,서울특별시 송파구 올림픽로 212,서울특별시 송파구 올림픽로 212
214,"서울특별시 서초구 잠원로4길 33-2, 잠원동 스타빌딩 203호 일부 및 204,205호 (잠원동)",서울특별시 서초구 잠원로4길 33-2
215,"서울특별시 강남구 선릉로 427, 4층 (역삼동)",서울특별시 강남구 선릉로 427
216,서울특별시 도봉구 덕릉로 236 (창동),서울특별시 도봉구 덕릉로 236 
217,서울특별시 영등포구 의사당대로 82,서울특별시 영등포구 의사당대로 82
218,"서울특별시 서초구 강남대로 349, 우남빌딩 6층 (서초동)",서울특별시 서초구 강남대로 349
219,"서울특별시 서초구 사임당로 137, 301호 (서초동, 신동아1차상가)",서울특별시 서초구 사임당로 137
220,"서울특별시 양천구 남부순환로40길 29, 1층,2층 (신월동)",서울특별시 양천구 남부순환로40길 29
221,"서울특별시 강동구 올림픽로98길 21, 2층 (암사동)",서울특별시 강동구 올림픽로98길 21
222,"서울특별시 은평구 연서로3길 48, 1층 (역촌동)",서울특별시 은평구 연서로3길 48
223,"서울특별시 관악구 남부순환로 1922, 8층 (봉천동)",서울특별시 관악구 남부순환로 1922
224,"서울특별시 동대문구 천호대로 281, 2층 (답십리동)",서울특별시 동대문구 천호대로 281
225,"서울특별시 금천구 가산디지털1로 186, 4층 403호 (가산동, 제이플라츠)",서울특별시 금천구 가산디지털1로 186
226,"서울특별시 송파구 양산로 42, 2층 (거여동, 성보빌딩)",서울특별시 송파구 양산로 42
227,"서울특별시 송파구 오금로 477, 2층 (거여동)",서울특별시 송파구 오금로 477
228,"서울특별시 송파구 거마로 55, 2층 (거여동)",서울특별시 송파구 거마로 55
229,"서울특별시 송파구 오금로 506, 4층 (거여동, 일동빌딩)",서울특별시 송파구 오금로 506
230,서울특별시 중랑구 면목로 357 (면목동),서울특별시 중랑구 면목로 357 
231,서울특별시 은평구 연서로 216 (대조동),서울특별시 은평구 연서로 216 
232,"서울특별시 금천구 시흥대로 399, 시티렉스 4층 411호 (독산동)",서울특별시 금천구 시흥대로 399
233,"서울특별시 구로구 천왕로 106, 골드프라자 (오류동)",서울특별시 구로구 천왕로 106
234,서울특별시 강북구 도봉로 40 (미아동),서울특별시 강북구 도봉로 40 
235,"서울특별시 은평구 진관4로 77, 702동 114호,113호 (진관동, 상림마을)",서울특별시 은평구 진관4로 77
236,"서울특별시 강북구 솔샘로 216, 3층 (미아동)",서울특별시 강북구 솔샘로 216
237,"서울특별시 노원구 노해로 480, 5층 (상계동, 조광빌딩)",서울특별시 노원구 노해로 480
238,"서울특별시 구로구 구로동로 77, 동해빌딩 1,2,3층 (구로동)",서울특별시 구로구 구로동로 77
239,"서울특별시 관악구 은천로 93, 502동 206호 (봉천동, 벽산블루밍아파트)",서울특별시 관악구 은천로 93
240,"서울특별시 강동구 양재대로 1457, 4층 (길동)",서울특별시 강동구 양재대로 1457
241,"서울특별시 동작구 상도로 297-1, 2층 (상도1동)",서울특별시 동작구 상도로 297-1
242,"서울특별시 강서구 강서로 179, 301호 (화곡동)",서울특별시 강서구 강서로 179
243,"서울특별시 강서구 곰달래로25길 33, 2,3층 (화곡동)",서울특별시 강서구 곰달래로25길 33
244,"서울특별시 송파구 충민로2길 24 (장지동, 리더스플라자 401호)",서울특별시 송파구 충민로2길 24 
245,"서울특별시 마포구 큰우물로 53, 마포 네이버타운 2층 201(일부),202호 (염리동)",서울특별시 마포구 큰우물로 53
246,"서울특별시 도봉구 도봉로 729, 2층 (방학동)",서울특별시 도봉구 도봉로 729
247,"서울특별시 중랑구 용마산로 503, 2~5층 (망우동)",서울특별시 중랑구 용마산로 503
248,"서울특별시 강남구 테헤란로87길 36, 도심공항타워 3층 (삼성동)",서울특별시 강남구 테헤란로87길 36
249,"서울특별시 강서구 강서로62길 98 (등촌동, 신한은행등촌점)",서울특별시 강서구 강서로62길 98 
250,"서울특별시 동대문구 왕산로 176, 3층 (전농동)",서울특별시 동대문구 왕산로 176
251,"서울특별시 성동구 왕십리로 319, 3층 (행당동)",서울특별시 성동구 왕십리로 319
252,서울특별시 광진구 능동로 120-1 (화양동),서울특별시 광진구 능동로 120-1 
253,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",서울특별시 송파구 위례서로 248
254,"서울특별시 광진구 아차산로 219, 4층 (화양동)",서울특별시 광진구 아차산로 219
255,"서울특별시 광진구 아차산로 226, 성용빌딩 4층 (자양동)",서울특별시 광진구 아차산로 226
256,"서울특별시 광진구 아차산로 229, 한림타워 2층 (화양동)",서울특별시 광진구 아차산로 229
257,"서울특별시 광진구 능동로 111, 5층 (화양동)",서울특별시 광진구 능동로 111
258,"서울특별시 광진구 아차산로 237, 삼진빌딩 3, 5층 (화양동)",서울특별시 광진구 아차산로 237
259,"서울특별시 광진구 아차산로 213, 웅진빌딩 4층 (화양동)",서울특별시 광진구 아차산로 213
260,서울특별시 영등포구 영신로 136 (영등포동4가),서울특별시 영등포구 영신로 136 
261,"서울특별시 서초구 동산로12길 4, 201호 (양재동, 양재동, 유성빌딩)",서울특별시 서초구 동산로12길 4
262,서울특별시 중랑구 상봉중앙로 42 (상봉동),서울특별시 중랑구 상봉중앙로 42 
263,서울특별시 광진구 면목로 113-1 (중곡동),서울특별시 광진구 면목로 113-1 
264,"서울특별시 강남구 선릉로 630, 동화빌딩 1층 (삼성동)",서울특별시 강남구 선릉로 630
265,"서울특별시 도봉구 도봉로 445, 인히어청년주택 2층 (쌍문동)",서울특별시 도봉구 도봉로 445
266,"서울특별시 동작구 동작대로 25, 4층 (사당동, 사임당빌딩)",서울특별시 동작구 동작대로 25
